Name,Objective,Folder,Status,Priority,Component,Estimated Time,Labels,Coverage,Step,Test Data,Expected Result
ORQA - CR1914 - TC0001,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0002,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0003,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0004,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0005,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0006,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0007,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0008,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0009,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0010,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0011,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
